Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7uF","C_0603_1608Metric",306.730400,-161.290000,45.000000,bottom
"C2","22pF","C_0603_1608Metric",321.638247,-157.020847,135.000000,bottom
"C3","22pF","C_0603_1608Metric",319.430400,-154.813000,315.000000,bottom
"C4","100nF","C_0603_1608Metric",315.620400,-152.908000,270.000000,bottom
"C5","100nF","C_0603_1608Metric",321.462400,-167.513000,225.000000,bottom
"C6","100nF","C_0603_1608Metric",312.694320,-172.567600,315.000000,bottom
"C7","100nF","C_0603_1608Metric",306.349400,-167.005000,135.000000,bottom
"C8","1uf","C_0603_1608Metric",311.810400,-152.908000,90.000000,bottom
"D4","1N4148","D_0603_1608Metric",49.212500,-154.781250,90.000000,bottom
"D5","1N4148","D_0603_1608Metric",65.881250,-169.068750,90.000000,bottom
"D6","1N4148","D_0603_1608Metric",46.831250,-192.881250,90.000000,bottom
"D7","1N4148","D_0603_1608Metric",44.354750,-116.425000,90.000000,bottom
"D8","1N4148","D_0603_1608Metric",46.831250,-135.575000,90.000000,bottom
"D9","1N4148","D_0603_1608Metric",94.456250,-192.881250,90.000000,bottom
"D10","1N4148","D_0603_1608Metric",65.881250,-173.831250,90.000000,bottom
"D11","1N4148","D_0603_1608Metric",61.118750,-116.450000,90.000000,bottom
"D12","1N4148","D_0603_1608Metric",70.643750,-135.731250,90.000000,bottom
"D13","1N4148","D_0603_1608Metric",75.406250,-154.781250,90.000000,bottom
"D14","1N4148","D_0603_1608Metric",92.075000,-192.881250,90.000000,bottom
"D15","1N4148","D_0603_1608Metric",80.168750,-116.400000,90.000000,bottom
"D16","1N4148","D_0603_1608Metric",89.693750,-135.731250,90.000000,bottom
"D17","1N4148","D_0603_1608Metric",94.456250,-154.781250,90.000000,bottom
"D18","1N4148","D_0603_1608Metric",84.931250,-173.831250,90.000000,bottom
"D19","1N4148","D_0603_1608Metric",113.506250,-154.781250,90.000000,bottom
"D20","1N4148","D_0603_1608Metric",131.660900,-193.325750,90.000000,bottom
"D21","1N4148","D_0603_1608Metric",99.218750,-116.550000,90.000000,bottom
"D22","1N4148","D_0603_1608Metric",108.743750,-135.731250,90.000000,bottom
"D23","1N4148","D_0603_1608Metric",103.981250,-173.831250,90.000000,bottom
"D24","1N4148","D_0603_1608Metric",118.268750,-116.400000,90.000000,bottom
"D25","1N4148","D_0603_1608Metric",127.793750,-135.731250,90.000000,bottom
"D26","1N4148","D_0603_1608Metric",132.556250,-154.781250,90.000000,bottom
"D27","1N4148","D_0603_1608Metric",123.031250,-173.470000,90.000000,bottom
"D28","1N4148","D_0603_1608Metric",142.081250,-173.831250,90.000000,bottom
"D29","1N4148","D_0603_1608Metric",137.318750,-116.450000,90.000000,bottom
"D30","1N4148","D_0603_1608Metric",146.843750,-135.731250,90.000000,bottom
"D31","1N4148","D_0603_1608Metric",151.606250,-154.781250,90.000000,bottom
"D32","1N4148","D_0603_1608Metric",168.967150,-192.881250,90.000000,bottom
"D33","1N4148","D_0603_1608Metric",161.131250,-173.831250,90.000000,bottom
"D34","1N4148","D_0603_1608Metric",156.368750,-116.500000,90.000000,bottom
"D35","1N4148","D_0603_1608Metric",165.893750,-135.731250,90.000000,bottom
"D36","1N4148","D_0603_1608Metric",170.656250,-154.781250,90.000000,bottom
"D37","1N4148","D_0603_1608Metric",180.181250,-173.831250,90.000000,bottom
"D38","1N4148","D_0603_1608Metric",175.418750,-116.500000,90.000000,bottom
"D39","1N4148","D_0603_1608Metric",184.943750,-135.731250,90.000000,bottom
"D40","1N4148","D_0603_1608Metric",189.706250,-154.781250,90.000000,bottom
"D41","1N4148","D_0603_1608Metric",199.231250,-173.831250,90.000000,bottom
"D42","1N4148","D_0603_1608Metric",194.468750,-116.525000,90.000000,bottom
"D43","1N4148","D_0603_1608Metric",203.993750,-135.731250,90.000000,bottom
"D44","1N4148","D_0603_1608Metric",208.756250,-154.781250,90.000000,bottom
